,Unnamed: 0,Text,cleaned_text,len
19027,19098,"DelFly can alternate between flying at high speeds and hovering, in order to take a better look at interesting places.",delfly alternate flying high speeds hovering order take better look interesting places ,117
19033,19104,"Instead of trying hard to avoid them in the first place, it is designed to recover quickly from the occasional thud against the wall, and resume flying.",instead trying hard avoid first place designed recover quickly occasional thud wall resume flying ,150
19034,19105,"To this end, the AirBurr's teardrop-shaped wing and small propellers are protected by flexible carbon rods that absorb shocks, and the robot is balanced in such a way that, even if it falls on the ground, it always lands with its propellers facing up, ready to take off again, just like the annoyingly unswattable insect that is buzzing around your room.The upshot of which is that you do not need to look like an animal in order to behave like one.",end airburr teardrop shaped wing small propellers protected flexible carbon rods absorb shocks robot balanced way even falls ground always lands propellers facing ready take like annoyingly unswattable insect buzzing around room upshot need look like animal order behave like one ,443
19035,19106,"Robots of the future might end up resembling medieval monsters, with shrews' heads, octopuses' arms and lampreys' bodies.",robots future might end resembling medieval monsters shrews heads octopuses arms lampreys bodies ,116
19037,19108,"IN A typically generous moment, Miriam Rothschild once named a flea after a writer on The Economist.",typically generous moment miriam rothschild named flea writer economist ,99
19040,19111,She thought fleas beautiful.,thought fleas beautiful ,28
19041,19112,"Gazing at their stained sections through the microscope, she once said, gave her a feeling as ecstatic as smoking cannabis.",gazing stained sections microscope said gave feeling ecstatic smoking cannabis ,121
19042,19113,"In her bedroom she kept them in cellophane bags, in order not to miss a thing that they were doing.",bedroom kept cellophane bags order miss thing ,98
19044,19115,"A lifelong atheist, she admitted that she had been tempted to believe in a creator when she discovered that the flea had a penis.",lifelong atheist admitted tempted believe creator discovered flea penis ,128
19045,19116,"Her fascination had begun young, on holiday in Transylvania, when her father had allowed her to help him catch fleas from a mouse.",fascination begun young holiday transylvania father allowed help catch fleas mouse ,128
19046,19117,"Already, in the sprawling Rothschild family seat where she was brought up and informally schooled, Miriam had a collection of ladybirds and butterflies, the butterflies pinned on card by herself.",already sprawling rothschild family seat brought informally schooled miriam collection ladybirds butterflies butterflies pinned card ,192
19047,19118,But her father was a flea man.,father flea man ,30
19048,19119,"He and her uncle Walter had already established, at Tring in Hertfordshire, the largest private natural history collection in Britain: 200,000 birds' eggs, 300,000 bird skins, 144 giant tortoises that wandered in the grounds, more than 2m butterflies, and plenty of fleas.",uncle walter already established tring hertfordshire largest private natural history collection britain birds eggs bird skins giant tortoises wandered grounds butterflies plenty fleas ,243
19049,19120,"These included 12 dressed fleas from Mexico, with a couple garbed like a bride and groom.",included dressed fleas mexico couple garbed like bride groom ,85
19051,19122,"He had identified the flea that carries plague, Xenopsylla cheopis Rothschild, and had written more than 150 papers on the creatures.",identified flea carries plague xenopsylla cheopis rothschild written papers creatures ,127
19052,19123,His daughter followed him into the depths of parasitology.,daughter followed depths parasitology ,58
19054,19125,"As she noted ruefully in her book “Fleas, Flukes and Cuckoos”, a popular study of parasitism, “Birds' fleas and feather lice do not sing.",noted ruefully book fleas flukes cuckoos popular study parasitism birds fleas feather lice sing ,130
19055,19126,Nor do they fly about flashing brilliantly coloured wings in the sunshine...The collectors of fleas and lice can be counted on the fingers of one hand!” Yet she loved them.,fly flashing brilliantly coloured wings sunshine collectors fleas lice counted fingers one hand yet loved ,168
19056,19127,"Her life's work, which took 30 years and filled six volumes, was to catalogue her father's collection.",life work took years filled six volumes catalogue father collection ,97
19057,19128,Nor did she stop there.,stop ,23
19058,19129,"As a passionate enthusiast for all living creatures (except some irritating humans), she produced more than 300 scientific papers over the years.",passionate enthusiast living creatures except irritating humans produced scientific papers years ,138
19061,19132,"During the second world war she tracked the role of wood pigeons in transmitting TB to cattle and, as she lurked in the fields with her crate of birds, was once taken for a German spy.",second world war tracked role wood pigeons transmitting tb cattle lurked fields crate birds taken german spy ,182
19064,19135,"The smell of a very gently squeezed ladybird, she once said, “will stay on your hands for days”.",smell gently squeezed ladybird said stay hands days ,92
19065,19136,"As the years passed, this passionate scientist, who had never taken a degree and lived most of the time on the farm where she had been born, accumulated eight honorary doctorates.",years passed passionate scientist never taken degree lived time farm born accumulated eight honorary doctorates ,176
19067,19138,These honours were not always given without grumbles from the men in the labs.,honours always given without grumbles men labs ,78
19070,19141,"She also had a view of science that was unashamedly broad, taking in arts, literature and natural philosophy—much in the mould of Erasmus Darwin at the end of the 18th century, whose tomes on botany and zoology were written in Wordsworthian verse.",also view science unashamedly broad taking arts literature natural philosophy much mould erasmus darwin end th century whose tomes botany zoology written wordsworthian verse ,242
19072,19143,"Visitors to her farm in Northamptonshire found it a riot of weeds and wild flowers, a style she impressed on the Prince of Wales at Highgrove.",visitors farm northamptonshire found riot weeds wild flowers style impressed prince wales highgrove ,141
19073,19144,"She herself moved through the gardens like a ship in full sail, dressed in her favourite purple or sea-green gowns.",moved gardens like ship full sail dressed favourite purple sea green gowns ,114
19074,19145,"Since she had eschewed leather on principle (together with meat and alcohol), she would sometimes wear white wellingtons for evening.",since eschewed leather principle together meat alcohol would sometimes wear white wellingtons evening ,130
19076,19147,"“She has come to this our Capitol”, it read, “not by degrees, but by one leap as of her fleas, in a triumphal chariot...drawn not by Venus's doves, Juno's peacocks, Alexander's gryphons or Pompey's elephants, but by her sixty-odd species of avian parasites.”",come capitol read degrees one leap fleas triumphal chariot drawn venus doves juno peacocks alexander gryphons pompey elephants sixty odd species avian parasites ,246
19078,19149,"Indeed, a whole industry has sprung up to supply this oppressed minority with everything from left-handed computer mice to mugs and boomerangs.The world of snails, too, has its sinister minority.",indeed whole industry sprung supply oppressed minority everything left handed computer mice mugs boomerangs world snails sinister minority ,192
19084,19155,"What they suspect is happening is that left-handed snails avoid the attentions of right-handed crabs because these dexterous crustaceans find it tricky to eat lefties.To appreciate this theory fully, you need to understand a little about crab table manners.",suspect happening left handed snails avoid attentions right handed crabs dexterous crustaceans find tricky eat lefties appreciate theory fully need understand little crab table manners ,256
19085,19156,Modern-day right-handed crabs orient their prey with the shell pointing away from their body and the opening on the right-hand side.,modern day right handed crabs orient prey shell pointing away body opening right hand side ,132
19087,19158,"The rest of the shell is then rolled towards the tooth in an anticlockwise direction, in order to remove it.The process is rather like peeling a potato with a right-handed peeler.",rest shell rolled towards tooth anticlockwise direction order remove process rather like peeling potato right handed peeler ,178
19089,19160,"Thus, a left-handed snail presents a right-handed crab with a challenge—and one that it usually cannot be bothered to accept.",thus left handed snail presents right handed crab challenge one usually cannot bothered accept ,124
19092,19163,"They are simply more trouble to open than they are worth, and are thus likely to be tossed aside.It all seems to parallel ideas about left-handedness in human cultures.",simply trouble open worth thus likely tossed aside seems parallel ideas left handedness human cultures ,167
19093,19164,"Left-handers enjoy an advantage in some sports, such as tennis.",left handers enjoy advantage sports tennis ,62
19106,19177,"There are beach scenes, grey streets, chaotic house parties and political portraits, among them a scrum shot of John F. Kennedy (the American president), Willy Brandt (West Berlin's mayor) and Konrad Adenauer (the Chancellor of West Germany) riding in a car at Brandenburg Gate in 1963.The show has a youthful spirit, and children are a recurring theme—at their first communions, playing football.",beach scenes grey streets chaotic house parties political portraits among scrum shot john kennedy american president willy brandt west berlin mayor konrad adenauer chancellor west germany riding car brandenburg gate show youthful spirit children recurring theme first communions playing football ,377
19107,19178,"“Children in front of a tank of the US Army in the Friedrichstraβe” (1961) show one curious group of boys in check shirts, pointing at a monolithic tank as if it were a reptile.",children front tank us army friedrichstra e show one curious group boys check shirts pointing monolithic tank reptile ,168
19108,19179,"Elsewhere, prepsters at Berlin’s south-west lake, Wannsee, tuck playing cards in their bike wheels, and teens at the beach carry inflatable air beds under their arms, ready for sunbathing on the asphalt.",elsewhere prepsters berlin south west lake wannsee tuck playing cards bike wheels teens beach carry inflatable air beds arms ready sunbathing asphalt ,198
19111,19182,"True love, of course, never fades.",true love course never fades ,32
19113,19184,"WHAT came before the joyous explosion of animal life which ushered in the Cambrian period is, to quote Churchill, a riddle wrapped in a mystery inside an enigma.",came joyous explosion animal life ushered cambrian period quote churchill riddle wrapped mystery inside enigma ,159
19115,19186,"Nor were there teeth, claws or spines.",teeth claws spines ,37
19120,19191,"What is more, they think they can see the traces of its muscles.",think see traces muscles ,63
19127,19198,"But unlike others of their kind they live attached to rocks by stalks, rather than swimming free in the sea.",unlike others kind live attached rocks stalks rather swimming free sea ,107
19130,19201,"WHETHER it is best to feed a fever and starve a cold, or vice versa, varies with the grandparent being asked.",whether best feed fever starve cold vice versa varies grandparent asked ,107
19131,19202,"Medicine has decided that it is always a bad idea to deny food to the ill. Now a new study suggests that by ignoring such old wives’ tales, medics may have missed a trick.",medicine decided always bad idea deny food ill new study suggests ignoring old wives tales medics may missed trick ,168
19146,19217,Burning fat protected infected mice.,burning fat protected infected mice ,36
19150,19221,But they are a useful reminder that there is sometimes genuine wisdom hidden in folksy homilies.,useful reminder sometimes genuine wisdom hidden folksy homilies ,96
19153,19224,"Vast shoals of this member of the anchovy family feed on upswelling algae; they are themselves eaten by scores of other species of fish.For decades anchovetas have been ground into fishmeal, of which Peru is the world's top producer.",vast shoals member anchovy family feed upswelling algae eaten scores species fish decades anchovetas ground fishmeal peru world top producer ,231
19161,19232,"At the same time, some in the fishing industry have realised that selling anchoveta as food for people, rather than as fertiliser or animal feed, is more profitable.",time fishing industry realised selling anchoveta food people rather fertiliser animal feed profitable ,162
19163,19234,"Most of this is canned, like sardines.One fishing company, Inversiones Prisco, has begun to produce salted and cured anchovy fillets.",canned like sardines one fishing company inversiones prisco begun produce salted cured anchovy fillets ,130
19166,19237,"Prisco is already the world's “fifth or sixth” biggest exporter of anchovies, according to Hugo Vernal, its manager.",prisco already world fifth sixth biggest exporter anchovies according hugo vernal manager ,112
19168,19239,"“It would be irrational to think that in ten years' time we will continue to allow a fish that could feed people to be ground up for farming,” says Mr Vernal.",would irrational think ten years time continue allow fish could feed people ground farming says mr vernal ,155
19169,19240,WHO WAS responsible for inventing the term “charismatic megafauna” is lost in the mists of time.,responsible inventing term charismatic megafauna lost mists time ,94
19178,19249,Foremost of these was flower colour.,foremost flower colour ,36
19179,19250,"Plants with blue flowers, such as Gentiana ligustica, the trumpet gentian (also pictured), were heavily over-represented.",plants blue flowers gentiana ligustica trumpet gentian also pictured heavily represented ,116
19180,19251,"White-flowered plants did well, too.",white flowered plants well ,35
19186,19257,"That one extra biscuit won't make much difference, but once the kilos are on it is hard to get them off.",one extra biscuit make much difference kilos hard get ,103
19189,19260,"Melt the ice and the balance between heat sent packing straight back into space and heat retained to warm the planet shifts very fast.In his book, Tim Flannery, a zoologist, delves into the science of climate change.",melt ice balance heat sent packing straight back space heat retained warm planet shifts fast book tim flannery zoologist delves science climate change ,213
19192,19263,Every year's delay in doing something about climate change will take far more than a year to put right.,every year delay something climate change take far year put right ,103
19193,19264,"Once the ice is gone, it will not come back.",ice gone come back ,43
19194,19265,"Once the permafrost melts and the methane it contains is released, it cannot be recalled—and methane is a far more potent greenhouse gas than carbon dioxide.",permafrost melts methane contains released cannot recalled methane far potent greenhouse gas carbon dioxide ,156
19202,19273,"The answer, according to Mr Flannery, lies in revamping the way electricity is generated.",answer according mr flannery lies revamping way electricity generated ,87
19207,19278,"He suggests that if humanity were facing the threat of cold, rather than heat, the talking would have been over long ago and a strong plan of action would be in place.",suggests humanity facing threat cold rather heat talking would long ago strong plan action would place ,165
19209,19280,"It really fears the cold, but rather likes the heat.",really fears cold rather likes heat ,51
19216,19287,A tag may also be recovered if the animal carrying it is caught by a fishing boat.,tag may also recovered animal carrying caught fishing boat ,82
19231,19302,"At the same time, people are working on shrinking the receivers to the point where they can be attached easily to fish.Godi Fischer of the University of Rhode Island is one of those attempting this receiver-shrinking.",time people working shrinking receivers point attached easily fish godi fischer university rhode island one attempting receiver shrinking ,216
19236,19307,He plans to attach them to tuna and swordfish later this year.,plans attach tuna swordfish later year ,62
19238,19309,"Swordfish follow a daily pattern, diving at dawn and spending the day at depths of up to 800 metres before rising near the surface again at night.",swordfish follow daily pattern diving dawn spending day depths metres rising near surface night ,141
19242,19313,Plotting the way swordfish move in relation to eddies could reveal much about the workings of the marine ecosystem.,plotting way swordfish move relation eddies could reveal much workings marine ecosystem ,115
19244,19315,"This could shed light on “ocean phase mortality”—the number of fish that go out into the deep ocean from their freshwater spawning grounds but fail to return to them later in life, to spawn themselves.",could shed light ocean phase mortality number fish go deep ocean freshwater spawning grounds fail return later life spawn ,198
19245,19316,"He also hopes, once and for all, to solve the mystery of where Atlantic eels spawn.Eels have life cycles that are the opposite of salmon.",also hopes solve mystery atlantic eels spawn eels life cycles opposite salmon ,135
19246,19317,They spawn at sea and the young then swim back to freshwater to live out most of their lives.,spawn sea young swim back freshwater live lives ,93
19247,19318,That Atlantic eels spawn somewhere in the vicinity of the Sargasso Sea is known from work carried out a century ago.,atlantic eels spawn somewhere vicinity sargasso sea known work carried century ago ,116
19253,19324,"This snow falls from the surface to the ocean depths, where it decays so slowly that it may persist for thousands of years.",snow falls surface ocean depths decays slowly may persist thousands years ,122
19257,19328,Thousands could thus be put in place for the cost of a single GPS satellite.,thousands could thus put place cost single gps satellite ,76
19262,19333,But having decent navigation beacons in place will surely help.,decent navigation beacons place surely help ,63
19265,19336,"Philatelists delight in rare stamps; petrol-heads in classic cars; oenophiles in that most liquid of assets, fine wine.",philatelists delight rare stamps petrol heads classic cars oenophiles liquid assets fine wine ,116
19266,19337,"The wine futures market, though, is pretty inefficient.",wine futures market though pretty inefficient ,53
19276,19347,"Half of the wines they looked at seemed to fluctuate in price over short periods, settling towards the mean return quickly.",half wines looked seemed fluctuate price short periods settling towards mean return quickly ,122
19279,19350,"For those with more untamed price histories, though—ie, the ones on which most money could, in principle, be made—machine learning roundly won.",untamed price histories though ie ones money could principle made machine learning roundly ,139
19283,19354,"It is also, as George Schaller, a zoologist with the Wildlife Conservation Society, points out, home to Asia's last great spectacle of migrating hoofed animals.",also george schaller zoologist wildlife conservation society points home asia last great spectacle migrating hoofed animals ,156
19285,19356,"A host of minerals is thought to lie beneath the steppe: coal, zinc, uranium, oil and even gold.",host minerals thought lie beneath steppe coal zinc uranium oil even gold ,92
19286,19357,"No one knows how much, but neighbouring China has an ever-growing appetite for minerals of all kinds.",one knows much neighbouring china ever growing appetite minerals kinds ,100
19289,19360,"But with an election coming this summer, an opaque government, and deep-pocketed mining companies keen to get going, the proposals are sure to return.",election coming summer opaque government deep pocketed mining companies keen get going proposals sure return ,147
19293,19364,It promises to be prohibitively expensive at a time when the government lacks the money to keep even the existing few roads under good repair.,promises prohibitively expensive time government lacks money keep even existing roads good repair ,142
19298,19369,"Not bad for a piffling structure 80 kilometres (50 miles) from the nearest Mongolian settlement, that of a nomadic herding family, and over 100km from Sumber, the nearest village.This is where the absurdities multiply, for the bridge is claimed by its boosters in the Mongolian and Chinese governments to be about to set the local economy on fire.",bad piffling structure kilometres miles nearest mongolian settlement nomadic herding family km sumber nearest village absurdities multiply bridge claimed boosters mongolian chinese governments set local economy fire ,332
19299,19370,"When the bridge, which the Chinese are paying for, reaches the Mongolian bank barely a track awaits it.",bridge chinese paying reaches mongolian bank barely track awaits ,101
19300,19371,"Meanwhile, traders and local officials in dirt-poor Sumber say they are furious at the new plans.",meanwhile traders local officials dirt poor sumber say furious new plans ,96
19302,19373,"The Nomrog park, where the Eastern Steppe ends, is a remarkable place of birch forests, river-willows, the rare Eurasian otter and the Urassian moose.",nomrog park eastern steppe ends remarkable place birch forests river willows rare eurasian otter urassian moose ,146
19311,19382,Male bedbugs inseminate females by piercing their bellies and depositing sperm inside their paramours’ body cavities.,male bedbugs inseminate females piercing bellies depositing sperm inside paramours body cavities ,116
19312,19383,"Male chimpanzees and lions kill the suckling infants of females before mating with them, as this brings those females more rapidly into oestrus.",male chimpanzees lions kill suckling infants females mating brings females rapidly oestrus ,143
19315,19386,"In many species of insects and spiders, females eat their partners after sex.Such cannibalism clearly brings advantage to the female, who gets an easy snack.",many species insects spiders females eat partners sex cannibalism clearly brings advantage female gets easy snack ,155
19322,19393,"In a second, the males’ bodies were removed and the females ate nothing.",second males bodies removed females ate nothing ,70
19326,19397,"Evidently, something in male fishing-spider flesh is particularly advantageous for the production and development of young.Exactly what this something is, Dr Schwartz and Dr Hebets cannot yet say.",evidently something male fishing spider flesh particularly advantageous production development young exactly something dr schwartz dr hebets cannot yet say ,194
19329,19400,"Possibly, in the past, females have been so good at catching males that few survived to father a second brood anyway.",possibly past females good catching males survived father second brood anyway ,115
19331,19402,"Whatever the truth, though, the fate of the poor male dark fishing spider is surely the cruellest and most unusual one-night stand of all.",whatever truth though fate poor male dark fishing spider surely cruellest unusual one night stand ,136
19332,19403,"INDIANA JONES is the ultimate action-hero academic: played by Harrison Ford, the indomitable professor outwits Nazis and other villains in search of religious relics, lost temples and alien artefacts.",indiana jones ultimate action hero academic played harrison ford indomitable professor outwits nazis villains search religious relics lost temples alien artefacts ,197
19334,19405,"But he did have a stylish hat, a military background and adventures in wild places.",stylish hat military background adventures wild places ,82
19338,19409,He feared that he and his friends would be left “to build our careers with carefully stacked minutiae”.,feared friends would left build careers carefully stacked minutiae ,101
19340,19411,"But to crack the secrets of the fossil world, he had to master not only the rocks but the organisms they hid.",crack secrets fossil world master rocks organisms hid ,108
19342,19413,"When necessary, he would draw bones and muscles on his own suit.",necessary would draw bones muscles suit ,63
19343,19414,"To illustrate the body’s natural shock-absorbers, he would stomp round the room on a peg leg, reading the description of Captain Ahab’s gait in “Moby Dick”.",illustrate body natural shock absorbers would stomp round room peg leg reading description captain ahab gait moby dick ,152
19345,19416,"Charm was his first weapon, obstinacy his second.",charm first weapon obstinacy second ,48
19346,19417,It was not just his clothes and vocabulary that were old-fashioned.,clothes vocabulary old fashioned ,67
19348,19419,"Unusually for modern academia, he showered praise on colleagues and deprecated his own triumphs.",unusually modern academia showered praise colleagues deprecated triumphs ,95
19349,19420,But he was a mighty foe when roused.,mighty foe roused ,36
19351,19422,The beast took offence and charged; Mr Jenkins made it back to his car minus a lens cap.,beast took offence charged mr jenkins made back car minus lens cap ,87
19353,19424,"His efforts reached, he said proudly, “circus-like” proportions.",efforts reached said proudly circus like proportions ,60
19354,19425,"“Tree shrews ricocheted across my bookshelves and desk,” he recalled.",tree shrews ricocheted across bookshelves desk recalled ,67
19357,19428,"The most arduous expeditions were to east Greenland and arctic Canada, armed with lavatory paper to wrap the fossils, and chocolate bars for the diggers.",arduous expeditions east greenland arctic canada armed lavatory paper wrap fossils chocolate bars diggers ,151
19359,19430,He rigged trip wires and automatic rifle fire to deter polar bears from the camp at night.,rigged trip wires automatic rifle fire deter polar bears camp night ,90
19360,19431,A cast of a huge paw print in his office was a souvenir of a particularly narrow escape.The trophies of those trips were carefully chipped open at Harvard.,cast huge paw print office souvenir particularly narrow escape trophies trips carefully chipped open harvard ,155
19361,19432,One proved to be the great find of his life: Tiktaalik roseae.,one proved great find life tiktaalik roseae ,61
19362,19433,“Rose” was the Christian name of an anonymous benefactor who subsidised the expeditions.,rose christian name anonymous benefactor subsidised expeditions ,87
19363,19434,Tiktaalik was a homage to his Inuit hosts: their word for a large freshwater fish.,tiktaalik homage inuit hosts word large freshwater fish ,81
19365,19436,"In layman’s language, it was a 375m-year-old fish with legs, a rudimentary ear and a snout for catching prey—a vital clue to how living beings first moved from sea to land.Smart manAnother big find was what he called the “ugliest animal in the world” (therefore named Gerrothorax pulcherrimus, or “most beautiful wicker chest”).",layman language year old fish legs rudimentary ear snout catching prey vital clue living beings first moved sea land smart mananother big find called ugliest animal world therefore named gerrothorax pulcherrimus beautiful wicker chest ,316
19366,19437,It was a 210m-year-old armoured marine creature.,year old armoured marine creature ,45
19369,19440,He found that in 1981 in the Arizona desert.,found arizona desert ,39
19370,19441,"It initially looked like “road kill”, his colleague Neil Shubin said: a 190m-year-old mash of four different frog skeletons.",initially looked like road kill colleague neil shubin said year old mash four different frog skeletons ,117
19371,19442,The two men spent the next 14 years picking them apart and putting them back together.,two men spent next years picking apart putting back together ,83
19372,19443,"They named their find Prosalirus  bitis, combining a Latin word meaning “leap forward” with a Navajo word for “high above it”.After a bout of cancer he dismissed a visitor’s worries, saying: “as a palaeontologist, I’m familiar with extinction.” In his spare time he trapped the chipmunks that infested his barn and made prodigious quantities of cider from his own apples.",named find prosalirus bitis combining latin word meaning leap forward navajo word high bout cancer dismissed visitor worries saying palaeontologist familiar extinction spare time trapped chipmunks infested barn made prodigious quantities cider apples ,359
19374,19445,It took 150 years for the continent to recover.,took years continent recover ,43
19375,19446,"The disease was so devastating that it changed the social order, as a scarcity of labour led to higher wages for the survivors, hastening the demise of feudalism.The plague was caused by Yersinia pestis, a bacterium that lives in fleas.",disease devastating changed social order scarcity labour led higher wages survivors hastening demise feudalism plague caused yersinia pestis bacterium lives fleas ,233
19376,19447,"In Europe, those fleas lived mostly on black rats (pictured).",europe fleas lived mostly black rats pictured ,58
19377,19448,"In Asia, where the disease came from, they lived on gerbils.",asia disease came lived gerbils ,58
19378,19449,"It was thus a zoonotic illness: one usually carried by animals, but which infects people when given the chance.",thus zoonotic illness one usually carried animals infects people given chance ,109
19381,19452,"So, as their names suggest, are the swine- and bird-flu strains that keep epidemiologists awake at night.Trying to work out which animals are reservoirs of disease that might infect humans is therefore an important job.",names suggest swine bird flu strains keep epidemiologists awake night trying work animals reservoirs disease might infect humans therefore important job ,216
19383,19454,"There are lots of animal species, a lot of unpleasant viruses and bacteria, and not enough zoologists and doctors to sort through them all.",lots animal species lot unpleasant viruses bacteria enough zoologists doctors sort ,137
19400,19471,They cannot say for sure that any particular species is a reservoir of diseases which could be transmitted to people.,cannot say sure particular species reservoir diseases could transmitted people ,117
19407,19478,"One was Central Asia, in modern-day Kazakhstan and northern China, which has already been fingered by historians as a likely source of the Black Death.The other, though, was a surprise.",one central asia modern day kazakhstan northern china already fingered historians likely source black death though surprise ,181
19409,19480,Zoologists looking to make a name for themselves—and to help stave off future epidemics—may therefore want to make the prairies the destination of their own obscure-rodent-studying field trips.,zoologists looking make name help stave future epidemics may therefore want make prairies destination obscure rodent studying field trips ,193
19410,19481,Invisible: The Dangerous Allure of the Unseen.,invisible dangerous allure unseen ,45
19412,19483,Bodley Head; 336 pages; £25.,bodley head pages ,18
19413,19484,"Buy from Amazon.com, Amazon.co.ukIN both Plato’s “Republic” and Tolkien’s “The Hobbit” unlikely heroes—the shepherd Gyges in the former, Bilbo Baggins in the latter—stumble across magic rings.",buy amazon com amazon co ukin plato republic tolkien hobbit unlikely heroes shepherd gyges former bilbo baggins latter stumble across magic rings ,186
19414,19485,"While the characters discover that the rings render them invisible, and go on to use them for their own ends, neither seriously questions the trinkets’ strange abilities.",characters discover rings render invisible go use ends neither seriously questions trinkets strange abilities ,167
19415,19486,"As Philip Ball explains in the opening lines of his new book, this is because in traditional magic tales, all that was needed to make something invisible was special knowledge or powerful friends.",philip ball explains opening lines new book traditional magic tales needed make something invisible special knowledge powerful friends ,194
19416,19487,The feat itself was not awesome.,feat awesome ,32
19420,19491,What emerges in his book on “The Dangerous Allure of the Unseen” is a fascinating compendium of the ways in which both the idea and the reality of invisibility have resonated in human minds over the centuries.,emerges book dangerous allure unseen fascinating compendium ways idea reality invisibility resonated human minds centuries ,207
19423,19494,"Imagine the repelled fascination of Antoni van Leeuwenhoek, a 17th-century Dutch cloth merchant, who used a microscope to examine water droplets and found them full of “animalcules”, which the unaided eye could not see, moving around in unfathomable ways.",imagine repelled fascination antoni van leeuwenhoek th century dutch cloth merchant used microscope examine water droplets found full animalcules unaided eye could see moving around unfathomable ways ,247
19424,19495,"His English contemporary, Robert Hooke, published “Micrographia” in 1665, full of drawings of things too small to see with the naked eye, such as a flea’s amour-like plating and the compound eyes of a fly.",english contemporary robert hooke published micrographia full drawings things small see naked eye flea amour like plating compound eyes fly ,194
19425,19496,"Even then, germ theorists like Joseph Lister struggled to persuade people that yet smaller disease-carriers existed.",even germ theorists like joseph lister struggled persuade people yet smaller disease carriers existed ,115
19426,19497,“Where are these little beasts?” one physician wrote.,little beasts one physician wrote ,51
19427,19498,“Show them to us and we shall believe in them.”Mr Ball’s descriptions of the fascinating netherworld of Victorian spiritualism have an unexpectedly emotional element.,show us shall believe mr ball descriptions fascinating netherworld victorian spiritualism unexpectedly emotional element ,165
19428,19499,"William Crookes, a chemist and journalist, began attending séances after the death of his brother in the 1860s.",william crookes chemist journalist began attending ances death brother ,105
19438,19509,"The device works only in two dimensions and only on microwaves.” Science, then, is not yet up to the job done by Tolkien’s ring.",device works two dimensions microwaves science yet job done tolkien ring ,124
19439,19510,But perhaps one day rendering buildings and even humans invisible will be as unremarkable as ordering an e-book or finding a magic ring in a fairy tale.,perhaps one day rendering buildings even humans invisible unremarkable ordering e book finding magic ring fairy tale ,152
19465,19536,Growing ice shelves would make the shallows uninhabitable.,growing ice shelves would make shallows uninhabitable ,58
19466,19537,The ocean depths would act as the refugia.,ocean depths would act refugia ,42
19470,19541,That is exactly the pattern that would be expected if deep-dwelling creatures had spread into the shallows and evolved into shallow-dwellers.,exactly pattern would expected deep dwelling creatures spread shallows evolved shallow dwellers ,141
19475,19546,"To this end, zillions of cells called lymphocytes circulate around the body, spoiling for a fight.But there is a paradox in this.",end zillions cells called lymphocytes circulate around body spoiling fight paradox ,127
19505,19576,"“Simplify, simplify” may be a good maxim in human affairs, but in the natural world it is sometimes the worst thing you can do.",simplify simplify may good maxim human affairs natural world sometimes worst thing ,124
19523,19594,More than 50 children have already died in America.,children already died america ,48
19525,19596,"It infected 500m people, and killed between 50m and 100m.",infected people killed ,48
19526,19597,The situation in some cities was said to resemble an outbreak of bubonic plague.,situation cities said resemble outbreak bubonic plague ,80
19527,19598,"A shortage of coffins and a failure to collect all corpses led some parents to put their dead children into large macaroni boxes, notes Jen Wright, author of “Get Well Soon”, a book surveying historical epidemics.",shortage coffins failure collect corpses led parents put dead children large macaroni boxes notes jen wright author get well soon book surveying historical epidemics ,208
19528,19599,The pandemic seems to have hit so hard because it was a new variant to which people had little immunity.,pandemic seems hit hard new variant people little immunity ,104
19546,19617,"A breakthrough may not be imminent, but thousands of coughing, wheezing sufferers would be glad to hear some good news.",breakthrough may imminent thousands coughing wheezing sufferers would glad hear good news ,117
19548,19619,"Like politicians eager for ministerial office after an election, scientists who imagine their work might qualify hover discreetly near the telephone awaiting a call from Stockholm.",like politicians eager ministerial office election scientists imagine work might qualify hover discreetly near telephone awaiting call stockholm ,179
19551,19622,"Or, rather, it would have done, had Dr Steinman not died on September 30th.",rather would done dr steinman died september th ,70
19558,19629,"Clearly, extra heat has value in combating illness.Exactly how fever works its magic is ill-understood.",clearly extra heat value combating illness exactly fever works magic ill understood ,102
19561,19632,The mystery was the cause.,mystery cause ,26
19578,19649,It then continues to be made until the temperature has gone back down again—and for a further two days thereafter.,continues made temperature gone back two days thereafter ,114
19605,19676,But the news is not all bad.,news bad ,28
19607,19678,That knowledge may steer younger patients into healthier lifestyles.,knowledge may steer younger patients healthier lifestyles ,68
19615,19686,"How well they will work, though, is another matter.",well work though another matter ,49
19616,19687,"On September 9th AstraZeneca, a drug firm, announced it was pausing its trials after a participant fell ill.",september th astrazeneca drug firm announced pausing trials participant fell ill ,105
19624,19695,"So did men and older people, both of whom are at greater risk of more severe illness.The four-month lifespan is cheering for two reasons.",men older people greater risk severe illness four month lifespan cheering two reasons ,136
19627,19698,They are also easier to find.,also easier find ,29
19645,19716,Granta; £16.99.A FEW years ago Barbara Ehrenreich stopped going for check-ups.,granta years ago barbara ehrenreich stopped going check ups ,70
19646,19717,"The decision to forgo cancer screenings and physical exams has set her apart from her friends, whose calendars are full of doctors’ appointments and whose cupboards are crammed with supplements and medicines.",decision forgo cancer screenings physical exams set apart friends whose calendars full doctors appointments whose cupboards crammed supplements medicines ,206
19649,19720,She will go to the doctor in an emergency.,go doctor emergency ,42
